,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
197,Puli,23.9664,120.9695,75.87,84,97,2.71,TW,2022-06-15 23:08:46,overcast clouds
198,Luderitz,-26.6481,15.1594,63.46,35,5,18.32,NA,2022-06-15 23:08:47,clear sky
199,Hammerfest,70.6634,23.6821,43.25,100,100,9.22,NO,2022-06-15 23:08:47,overcast clouds
200,Tasiilaq,65.6145,-37.6368,39.36,96,100,9.4,GL,2022-06-15 23:08:33,light rain
201,Kalat,29.0225,66.5916,71.2,17,0,3.33,PK,2022-06-15 23:08:47,clear sky
202,Faya,18.3851,42.4509,70.32,21,67,8.12,SA,2022-06-15 23:08:48,broken clouds
203,Vanderhoof,54.0166,-124.0198,74.08,28,61,8.5,CA,2022-06-15 23:04:41,broken clouds
204,Mahebourg,-20.4081,57.7,74.25,74,42,18.41,MU,2022-06-15 23:08:48,light rain
205,Bastrop,32.7562,-91.8724,92.88,63,3,7.96,US,2022-06-15 23:05:58,clear sky
206,Saint-Philippe,-21.3585,55.7679,69.39,85,58,16.53,RE,2022-06-15 23:08:49,light rain
207,Taseyevo,57.2169,94.8978,61.63,94,52,1.54,RU,2022-06-15 23:08:49,broken clouds
208,Sao Filipe,14.8961,-24.4956,72.9,85,38,6.93,CV,2022-06-15 23:05:32,scattered clouds
209,Atbasar,51.8,68.3333,62.26,59,71,6.13,KZ,2022-06-15 23:08:50,broken clouds
210,Ponta Do Sol,32.6667,-17.1,68.72,75,38,11.5,PT,2022-06-15 23:08:50,scattered clouds
211,Sturgis,41.7992,-85.4192,91.65,51,0,12.66,US,2022-06-15 23:08:50,clear sky
212,Bonavista,48.6499,-53.1147,44.06,81,23,2.86,CA,2022-06-15 23:08:51,few clouds
213,Coihaique,-45.5752,-72.0662,41.61,93,40,3.44,CL,2022-06-15 23:08:51,scattered clouds
214,Chantada,42.6088,-7.7712,69.55,92,100,3.65,ES,2022-06-15 23:08:51,overcast clouds
215,Chuy,-33.6971,-53.4616,54.27,76,94,5.68,UY,2022-06-15 23:08:52,overcast clouds
216,Bossangoa,6.4926,17.4552,70.12,91,99,2.33,CF,2022-06-15 23:08:52,light rain
217,Singleton,-32.5667,151.1833,52.86,65,3,7.11,AU,2022-06-15 23:08:52,clear sky
218,Kimbe,-5.5502,150.1429,83.8,68,76,2.48,PG,2022-06-15 23:08:53,broken clouds
219,Namatanai,-3.6667,152.4333,83.19,70,54,7.94,PG,2022-06-15 23:05:19,broken clouds
220,Salamiyah,35.0113,37.0532,69.04,70,0,3.8,SY,2022-06-15 23:08:53,clear sky
221,Mujiayingzi,42.1167,118.7833,66.15,65,2,5.53,CN,2022-06-15 23:08:54,clear sky
222,Narsaq,60.9167,-46.05,53.82,67,11,4.23,GL,2022-06-15 23:08:54,few clouds
223,Yulara,-25.2406,130.9889,55.36,55,7,6.29,AU,2022-06-15 23:08:54,clear sky
224,Pundaguitan,6.3711,126.1689,81.99,76,81,10.76,PH,2022-06-15 23:08:55,broken clouds
225,Sulangan,11.1373,123.7228,83.82,72,40,6.38,PH,2022-06-15 23:08:55,scattered clouds
226,Porto Santo,33.072,-16.3415,66.58,72,20,17.27,PT,2022-06-15 23:08:55,few clouds
227,Valdivia,-39.8142,-73.2459,42.89,91,79,0.83,CL,2022-06-15 23:08:56,broken clouds
228,Havre-Saint-Pierre,50.2334,-63.5986,57.34,74,11,13.73,CA,2022-06-15 23:07:25,few clouds
229,Talara,-4.5772,-81.2719,72.36,68,0,16.11,PE,2022-06-15 23:09:56,clear sky
230,Caravelas,-17.7125,-39.2481,71.29,65,68,8.21,BR,2022-06-15 23:09:56,broken clouds
231,Majene,-3.5403,118.9707,77.94,90,98,8.68,ID,2022-06-15 23:09:57,overcast clouds
232,Sao Raimundo Das Mangabeiras,-7.0219,-45.4811,74.7,69,32,3.96,BR,2022-06-15 23:09:57,scattered clouds
233,Kavieng,-2.5744,150.7967,84.09,70,29,13.2,PG,2022-06-15 23:09:57,scattered clouds
234,Sorland,67.667,12.6934,44.46,83,18,3.51,NO,2022-06-15 23:09:58,few clouds
235,La Mira,18.035,-102.3266,81.86,74,100,3.89,MX,2022-06-15 23:09:58,overcast clouds
236,Alice Springs,-23.7,133.8833,44.15,87,14,4.61,AU,2022-06-15 23:09:58,few clouds
237,Flinders,-34.5833,150.8552,61.38,69,70,4.0,AU,2022-06-15 23:09:59,light rain
238,Iquique,-20.2208,-70.1431,60.84,81,29,5.75,CL,2022-06-15 23:09:59,scattered clouds
239,Vanavara,60.34,102.2797,64.44,71,84,4.38,RU,2022-06-15 23:09:54,broken clouds
240,Buenos Aires,-34.6132,-58.3772,57.94,91,100,3.44,AR,2022-06-15 23:08:41,overcast clouds
241,Port Lincoln,-34.7333,135.8667,55.99,78,56,5.44,AU,2022-06-15 23:10:00,broken clouds
242,Ambon,-3.6954,128.1814,76.23,16,40,0.0,ID,2022-06-15 23:10:00,thunderstorm
243,Bambous Virieux,-20.3428,57.7575,74.21,74,47,18.1,MU,2022-06-15 23:08:57,light rain
244,Lumphat,13.4878,106.9816,74.77,98,100,2.46,KH,2022-06-15 23:10:01,overcast clouds
245,Half Moon Bay,37.4636,-122.4286,89.58,65,75,25.32,US,2022-06-15 23:10:01,mist
246,Goba,7.0167,39.9833,47.62,86,66,6.87,ET,2022-06-15 23:10:01,broken clouds
247,Karratha,-20.7377,116.8463,71.08,53,32,8.95,AU,2022-06-15 23:10:02,scattered clouds
248,Manyana,-23.4,21.7167,41.23,49,0,7.47,BW,2022-06-15 23:10:02,clear sky
249,Inhambane,-23.865,35.3833,70.03,78,35,15.46,MZ,2022-06-15 23:10:03,scattered clouds
250,Umm Kaddadah,13.6017,26.6876,85.95,39,47,13.44,SD,2022-06-15 23:10:03,scattered clouds
251,Joshimath,30.5667,79.5667,65.07,81,66,2.89,IN,2022-06-15 23:10:03,broken clouds
252,Norman Wells,65.282,-126.8329,59.04,55,75,3.44,CA,2022-06-15 23:06:21,broken clouds
253,The Valley,18.217,-63.0578,82.81,83,20,16.11,AI,2022-06-15 23:10:04,few clouds
254,Ishigaki,24.3448,124.1572,82.4,83,100,11.34,JP,2022-06-15 23:10:04,light rain
255,Darhan,49.4867,105.9228,65.82,80,100,2.28,MN,2022-06-15 23:10:05,overcast clouds
256,North Bend,43.4065,-124.2243,62.92,84,100,11.5,US,2022-06-15 23:10:05,overcast clouds
257,Moskovskiy,55.5991,37.355,55.47,81,0,11.01,RU,2022-06-15 23:10:05,clear sky
258,Muravlenko,63.7898,74.523,54.23,88,99,16.69,RU,2022-06-15 23:10:06,overcast clouds
